id: flexure_width, flexure_length, finger_length, grating_width, spring_length
0: (3, 800, 50, 6, 50)
1: (3, 800, 50, 6, 100)
2: (3, 800, 50, 6, 200)
3: (3, 800, 80, 6, 50)
4: (3, 800, 80, 6, 100)
5: (3, 800, 80, 6, 200)
6: (3, 800, 100, 6, 50)
7: (3, 800, 100, 6, 100)
8: (3, 800, 100, 6, 200)
9: (3, 1000, 50, 6, 50)
10: (3, 1000, 50, 6, 100)
11: (3, 1000, 50, 6, 200)
12: (3, 1000, 80, 6, 50)
13: (3, 1000, 80, 6, 100)
14: (3, 1000, 80, 6, 200)
15: (3, 1000, 100, 6, 50)
16: (3, 1000, 100, 6, 100)
17: (3, 1000, 100, 6, 200)
18: (3, 1200, 50, 6, 50)
19: (3, 1200, 50, 6, 100)
20: (3, 1200, 50, 6, 200)
21: (3, 1200, 80, 6, 50)
22: (3, 1200, 80, 6, 100)
23: (3, 1200, 80, 6, 200)
24: (3, 1200, 100, 6, 50)
25: (3, 1200, 100, 6, 100)
26: (3, 1200, 100, 6, 200)
27: (5, 800, 50, 6, 50)
28: (5, 800, 50, 6, 100)
29: (5, 800, 50, 6, 200)
30: (5, 800, 80, 6, 50)
31: (5, 800, 80, 6, 100)
32: (5, 800, 80, 6, 200)
33: (5, 800, 100, 6, 50)
34: (5, 800, 100, 6, 100)
35: (5, 800, 100, 6, 200)
36: (5, 1000, 50, 6, 50)
37: (5, 1000, 50, 6, 100)
38: (5, 1000, 50, 6, 200)
39: (5, 1000, 80, 6, 50)
40: (5, 1000, 80, 6, 100)
41: (5, 1000, 80, 6, 200)
42: (5, 1000, 100, 6, 50)
43: (5, 1000, 100, 6, 100)
44: (5, 1000, 100, 6, 200)
45: (5, 1200, 50, 6, 50)
46: (5, 1200, 50, 6, 100)
47: (5, 1200, 50, 6, 200)
48: (5, 1200, 80, 6, 50)
49: (5, 1200, 80, 6, 100)
50: (5, 1200, 80, 6, 200)
51: (5, 1200, 100, 6, 50)
52: (5, 1200, 100, 6, 100)
53: (5, 1200, 100, 6, 200)
