num, finger_length, spring_length, flexure_width, flexure_length, grating_width
0, 100, 100, 3, 100, 6
1, 100, 100, 3, 150, 6
2, 100, 100, 3, 200, 6
3, 100, 100, 3, 250, 6
4, 100, 100, 3, 300, 6
5, 100, 100, 3, 350, 6
6, 100, 100, 5, 100, 6
7, 100, 100, 5, 150, 6
8, 100, 100, 5, 200, 6
9, 100, 100, 5, 250, 6
10, 100, 100, 5, 300, 6
11, 100, 100, 5, 350, 6
12, 100, 100, 7, 100, 6
13, 100, 100, 7, 150, 6
14, 100, 100, 7, 200, 6
15, 100, 100, 7, 250, 6
16, 100, 100, 7, 300, 6
17, 100, 100, 7, 350, 6
18, 100, 150, 3, 100, 6
19, 100, 150, 3, 150, 6
20, 100, 150, 3, 200, 6
21, 100, 150, 3, 250, 6
22, 100, 150, 3, 300, 6
23, 100, 150, 3, 350, 6
24, 100, 150, 5, 100, 6
25, 100, 150, 5, 150, 6
26, 100, 150, 5, 200, 6
27, 100, 150, 5, 250, 6
28, 100, 150, 5, 300, 6
29, 100, 150, 5, 350, 6
30, 100, 150, 7, 100, 6
31, 100, 150, 7, 150, 6
32, 100, 150, 7, 200, 6
33, 100, 150, 7, 250, 6
34, 100, 150, 7, 300, 6
35, 100, 150, 7, 350, 6
36, 50, 100, 3, 100, 6
37, 50, 100, 3, 150, 6
38, 50, 100, 3, 200, 6
39, 50, 100, 3, 250, 6
40, 50, 100, 3, 300, 6
41, 50, 100, 3, 350, 6
42, 50, 100, 5, 100, 6
43, 50, 100, 5, 150, 6
44, 50, 100, 5, 200, 6
45, 50, 100, 5, 250, 6
46, 50, 100, 5, 300, 6
47, 50, 100, 5, 350, 6
48, 50, 100, 7, 100, 6
49, 50, 100, 7, 150, 6
50, 50, 100, 7, 200, 6
51, 50, 100, 7, 250, 6
52, 50, 100, 7, 300, 6
53, 50, 100, 7, 350, 6
54, 50, 150, 3, 100, 6
55, 50, 150, 3, 150, 6
56, 50, 150, 3, 200, 6
57, 50, 150, 3, 250, 6
58, 50, 150, 3, 300, 6
59, 50, 150, 3, 350, 6
60, 50, 150, 5, 100, 6
61, 50, 150, 5, 150, 6
62, 50, 150, 5, 200, 6
63, 50, 150, 5, 250, 6
64, 50, 150, 5, 300, 6
65, 50, 150, 5, 350, 6
66, 50, 150, 7, 100, 6
67, 50, 150, 7, 150, 6
68, 50, 150, 7, 200, 6
69, 50, 150, 7, 250, 6
70, 50, 150, 7, 300, 6
71, 50, 150, 7, 350, 6
